dataset,method,cost_1_1_mean,cost_1_1_std,cost_2_5_mean,cost_2_5_std,cost_5_2_mean,cost_5_2_std,cost_10_1_mean,cost_10_1_std
adult_income,CART,0.7306666666666667,0.12393546707863731,3.393333333333333,0.7836665957748444,1.7213333333333332,0.1941820451706765,1.5106666666666664,0.5880136052847756
adult_income,EMDT,0.8346666666666666,0.13830722645215932,3.985333333333333,0.6556557362247695,1.857333333333333,0.34894125580103014,1.3986666666666663,0.47517949824835204
adult_income,EMDT-Iso,0.8346666666666666,0.13830722645215932,3.985333333333333,0.6556557362247695,1.857333333333333,0.34894125580103014,1.3986666666666663,0.47517949824835204
adult_income,LGBM-Mono,0.6733333333333332,0.11979406197283159,3.098666666666667,0.581567061407006,1.6146666666666665,0.2907937201081223,1.477333333333333,0.3956703953145789
adult_income,LGBM-Mono-Best,0.6853333333333333,0.11247166995830496,3.146666666666667,0.5744519664239953,1.6506666666666665,0.25202782523237,1.5253333333333328,0.3615166953097109
adult_income,MonoRF,0.7933333333333333,0.0915706567912734,3.9146666666666667,0.4537775601261856,1.6386666666666667,0.1963066384417406,0.949333333333333,0.18622169185816803
adult_income,MonoScore,0.8386666666666667,0.07151275462513014,4.053333333333333,0.3897957679872125,1.8173333333333332,0.14457088483073183,1.2586666666666664,0.24450100355773743
adult_income,ODT,0.8173333333333334,0.13079811981885728,3.9146666666666667,0.6221015756051177,1.8066666666666666,0.3188404918752624,1.333333333333333,0.3971752108933136
adult_income,XGB-Mono,0.6453333333333333,0.11299732325028054,2.958666666666667,0.5354937723698694,1.5586666666666664,0.30569572542515194,1.4493333333333331,0.48352818549991433
adult_income,XGB-Mono-Best,0.6853333333333333,0.1184592444370324,3.206666666666667,0.5659734321732124,1.5906666666666665,0.3244779282569555,1.345333333333333,0.5345707866372104
bank_marketing,CART,0.7836567926455567,0.16552456832998616,3.8036772216547496,0.871547519378906,1.681920326864147,0.2995125456569047,1.1274770173646576,0.2257699760664334
bank_marketing,EMDT,0.8487231869254341,0.09295068226730008,4.2065372829417775,0.4669571324463635,1.7345250255362614,0.1869694313126513,0.9599591419816136,0.1255805386994695
bank_marketing,EMDT-Iso,0.8487231869254341,0.09295068226730008,4.2065372829417775,0.4669571324463635,1.7345250255362614,0.1869694313126513,0.9599591419816136,0.1255805386994695
bank_marketing,LGBM-Mono,0.797344228804903,0.14775665256932735,3.885597548518897,0.742321938084087,1.6958120531154237,0.3038115662905318,1.1007150153217566,0.25916416733943426
bank_marketing,LGBM-Mono-Best,0.7916241062308478,0.13518437938356426,3.8468845760980592,0.6748266659759438,1.6944841675178755,0.28730812888490775,1.1253319713993866,0.2826341301260797
bank_marketing,MonoRF,0.9237997957099081,0.12368336227815023,4.602145045965271,0.6205180998994427,1.864453524004086,0.24829677425323035,0.9743615934627169,0.15503963321925152
bank_marketing,MonoScore,0.8817160367722165,0.06647856152390534,4.381613891726252,0.32273890709531744,1.7903983656792644,0.14680153905901652,0.9626149131767106,0.13200417871075762
bank_marketing,ODT,0.8508682328907048,0.11517102435034805,4.183554647599591,0.6031876237135356,1.772522982635342,0.20858444680861005,1.0632277834525024,0.12974918369727886
bank_marketing,XGB-Mono,0.7938712972420837,0.15129026552078345,3.851378958120531,0.7646216438820159,1.7057201225740548,0.3073257024739052,1.1478038815117462,0.26337186705407123
bank_marketing,XGB-Mono-Best,0.7825331971399387,0.15659978963622706,3.801430030643514,0.7891125086553752,1.6763023493360572,0.3161060314845899,1.1162410623084775,0.24012695350844804
compas_real,CART,0.7074747474747475,0.04743341802518602,1.944040404040404,0.2604921492143051,3.008282828282828,0.3254489790181773,5.487474747474748,0.8316850276771095
compas_real,EMDT,0.7319191919191919,0.06487788264848894,2.052929292929293,0.2095581348639939,3.0705050505050506,0.33334686909224603,5.5519191919191915,0.7206512388939276
compas_real,EMDT-Iso,0.7319191919191919,0.06487788264848894,2.052929292929293,0.2095581348639939,3.0705050505050506,0.33334686909224603,5.5519191919191915,0.7206512388939276
compas_real,LGBM-Mono,0.6943434343434343,0.08148454233614269,2.125050505050505,0.19684378259796462,2.735353535353535,0.39320833487197915,4.734343434343434,0.7823387195159598
compas_real,LGBM-Mono-Best,0.6888888888888889,0.07302594861535867,2.1577777777777776,0.22689995616979025,2.6644444444444444,0.3370334379233122,4.5488888888888885,0.6801560486025495
compas_real,MonoRF,0.6973737373737373,0.07440269925865446,1.8802020202020198,0.276309434108223,3.0014141414141413,0.29140600097167857,5.517373737373737,0.5504822532579263
compas_real,MonoScore,0.6848484848484848,0.10845305479975394,1.8442424242424238,0.3413250735532612,2.9496969696969697,0.4591066326162512,5.424848484848485,0.8683459514260574
compas_real,ODT,0.768080808080808,0.07559383726830352,2.1470707070707067,0.3125475895924809,3.229494949494949,0.3215996927693269,5.848080808080808,0.6792512180585832
compas_real,XGB-Mono,0.7179797979797979,0.06878055273453486,2.123232323232323,0.18845596390261887,2.9026262626262627,0.32761728270296797,5.117979797979798,0.6585150719706192
compas_real,XGB-Mono-Best,0.7258585858585858,0.07071701068499855,2.182626262626262,0.20806489865410943,2.8983838383838383,0.35697610571503047,5.065858585858586,0.7526711117390267
german_real,CART,0.9385714285714286,0.08433487341708434,2.0828571428571427,0.2796913678948285,4.4871428571428575,0.3588779720754926,8.768571428571429,0.6941144794317543
german_real,EMDT,0.9423809523809524,0.044583116994975275,2.051904761904762,0.15388559391349588,4.544761904761905,0.20944202347975543,8.922380952380951,0.438779371507675
german_real,EMDT-Iso,0.9423809523809524,0.044583116994975275,2.051904761904762,0.15388559391349588,4.544761904761905,0.20944202347975543,8.922380952380951,0.438779371507675
german_real,LGBM-Mono,0.9138095238095237,0.06736033674193143,2.179047619047619,0.24035121693678438,4.217619047619047,0.2642277928807117,8.083809523809524,0.489425596966471
german_real,LGBM-Mono-Best,0.900952380952381,0.07055193984343347,2.1447619047619044,0.23483696493691342,4.161904761904762,0.30808374813997697,7.980952380952381,0.6089489683519802
german_real,MonoRF,0.9299999999999999,0.04205899946059228,1.92,0.10762794363194397,4.59,0.197368043565343,9.120000000000001,0.38783985494843054
german_real,MonoScore,0.9342857142857142,0.037481834014337585,2.0014285714285713,0.08665125742424246,4.538571428571428,0.22592660743611775,8.944285714285716,0.5036928381292171
german_real,ODT,0.9323809523809523,0.057485743738618866,2.091904761904762,0.15895301815425736,4.4347619047619045,0.3089090353794753,8.642380952380952,0.6664188881947342
german_real,XGB-Mono,0.8742857142857142,0.07866997187414498,2.121428571428571,0.25889321962646367,3.9985714285714287,0.30795328051196397,7.6242857142857146,0.5466333433790209
german_real,XGB-Mono-Best,0.8933333333333333,0.07780045021020156,2.1166666666666663,0.24326918049743626,4.136666666666667,0.32465692107533534,7.943333333333333,0.604432481207475
