Dataset,Method,Runs,Accuracy_Mean,Accuracy_Std,Accuracy_CI_L,Accuracy_CI_U,Brier_Mean,Brier_Std,Brier_CI_L,Brier_CI_U,ECE_Mean,ECE_Std,ECE_CI_L,ECE_CI_U,FPR_Mean,FPR_Std,FPR_CI_L,FPR_CI_U,FNR_Mean,FNR_Std,FNR_CI_L,FNR_CI_U,Cost_Mean,Cost_Std,Cost_CI_L,Cost_CI_U,violations_Mean,violations_Std,violations_CI_L,violations_CI_U,viol_rate_Mean,viol_rate_Std,viol_rate_CI_L,viol_rate_CI_U,viol_severity_mean_Mean,viol_severity_mean_Std,viol_severity_mean_CI_L,viol_severity_mean_CI_U,viol_severity_cond_Mean,viol_severity_cond_Std,viol_severity_cond_CI_L,viol_severity_cond_CI_U,viol_severity_max_Mean,viol_severity_max_Std,viol_severity_max_CI_L,viol_severity_max_CI_U,Time_Mean,Time_Std,Time_CI_L,Time_CI_U,RelativeGap_Mean,RelativeGap_Std,RelativeGap_CI_L,RelativeGap_CI_U,OptimalRate,FeasibleRate
adult_income,CART,10,0.774,0.026907248094147428,0.758,0.791,0.1500142165058686,0.015336061979222687,0.1395753620919308,0.15892105542581214,0.04235300025982646,0.025709727942974065,0.02732933888871282,0.058345762055528105,0.08666666666666668,0.06985699678629192,0.044000000000000004,0.12933333333333336,0.6439999999999999,0.172,0.54,0.752,1.7213333333333334,0.18421726303471128,1.6039999999999999,1.8280333333333332,4.0,11.34019400186787,0.1,11.8,0.002,0.005670097000933935,5e-05,0.0059,0.0013751792629277415,0.004061394860203791,8.78787878787879e-06,0.004106240878796659,0.1099560490752975,0.21527193665006425,0.017575757575757578,0.28544891640866876,0.1385938199731303,0.2971504923069657,0.017575757575757578,0.3771876399462606,0.003026747703552246,0.0020413783780037437,0.0018826389312744142,0.004269163608551025,,,,,0.0,0.0
adult_income,EMDT,10,0.76,0.04516635916254487,0.733,0.789,0.24000000000000005,0.04516635916254485,0.211,0.267,0.24000000000000005,0.04516635916254486,0.211,0.267,0.06266666666666668,0.04301937547973781,0.036,0.08933333333333335,0.772,0.12270289320142373,0.692,0.8400000000000001,1.8573333333333335,0.3310347413792093,1.6440000000000001,2.054666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.880006527900696,0.6215139107909241,3.5193742138147357,4.323797777295113,0.0,0.0,0.0,0.0,1.0,1.0
adult_income,EMDT-Iso,10,0.76,0.04516635916254487,0.733,0.789,0.180691294898619,0.02404074888995754,0.16541769880163032,0.1953133363061944,0.054352265902035325,0.03289103722850662,0.03449775222606951,0.07570641871959356,0.06266666666666668,0.04301937547973781,0.036,0.08933333333333335,0.772,0.12270289320142373,0.692,0.8400000000000001,1.8573333333333335,0.3310347413792093,1.6440000000000001,2.054666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.827800226211548,0.44685673649029467,3.562490103840828,4.128358132243156,0.0,0.0,0.0,0.0,1.0,1.0
adult_income,LGBM-Mono,10,0.7870000000000001,0.037429934544425794,0.764,0.8099999999999999,0.14990321427086015,0.02165186284703688,0.13655550592541202,0.163421703266514,0.09867573643089626,0.035287367104121094,0.07840183834506932,0.1210081190638709,0.08933333333333335,0.03678163793102326,0.06663333333333334,0.11200000000000002,0.584,0.11056219968868203,0.508,0.6439999999999999,1.6146666666666665,0.2758711454445516,1.4466333333333332,1.7827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016885828971862794,0.0044815301260945056,0.014392054080963135,0.01990197002887725,,,,,0.0,0.0
adult_income,LGBM-Mono-Best,10,0.782,0.03218695387886217,0.7630000000000001,0.8029999999999999,0.15096949655620878,0.022469132887151928,0.13715032909608274,0.16487896253272097,0.09854334717255608,0.036689791803475924,0.07830007767454242,0.1222558009975446,0.09333333333333334,0.03627058802329451,0.06933333333333333,0.11466666666666667,0.592,0.11285388783732708,0.516,0.6559999999999999,1.6506666666666667,0.23909458844194326,1.4933333333333334,1.789333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03476121425628662,0.011659091548543752,0.02873775064945221,0.042693241834640495,,,,,0.0,0.0
adult_income,MonoRF,10,0.7929999999999999,0.024103941586387883,0.779,0.8099999999999999,0.1435847381658199,0.014072766970533388,0.13424130699963313,0.15153283928290903,0.07063398444114147,0.015249829611672506,0.06174852257442544,0.07997300091290763,0.017333333333333333,0.015832456116050556,0.008,0.026666666666666665,0.776,0.08616263691415205,0.72,0.8320000000000001,1.6386666666666667,0.18623282918612027,1.5093333333333332,1.7466999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-20,4.4408920985006264e-20,0.0,5.551115123125783e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4432478904724121,0.06514516407851761,0.4015704143047333,0.47929545640945437,,,,,0.0,0.0
adult_income,MonoScore,10,0.7670000000000001,0.018466185312619406,0.756,0.778,0.15099484425767823,0.012035284048458493,0.1437130794719834,0.1587587979887576,0.08011684047279163,0.024747001737188645,0.06513208599481901,0.09546299446707138,0.04666666666666667,0.026832815729997475,0.030666666666666665,0.06266666666666668,0.792,0.07959899496852961,0.744,0.8400000000000001,1.8173333333333332,0.13715198382329977,1.7306666666666668,1.8986666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006573939323425293,0.002032050527634258,0.005313618779182434,0.007820730805397033,,,,,0.0,0.0
adult_income,ODT,10,0.767,0.04075536774462967,0.742,0.7939999999999999,0.233,0.040755367744629664,0.20600000000000002,0.258,0.233,0.04075536774462967,0.20600000000000002,0.258,0.057333333333333326,0.034794635601866374,0.03733333333333333,0.07999999999999999,0.76,0.11593101396951548,0.6879,0.8280000000000001,1.8066666666666666,0.30247864938427194,1.6106666666666665,1.9893666666666665,24.5,19.653244007033546,15.6,38.3,0.01225,0.009826622003516774,0.007800000000000001,0.019150000000000004,0.01225,0.009826622003516774,0.007800000000000001,0.019150000000000004,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.546120977401733,1.5398021111770976,3.7075168114900587,5.722052965164184,0.0,0.0,0.0,0.0,1.0,1.0
adult_income,XGB-Mono,10,0.794,0.04054626986542659,0.769,0.819,0.1478326065598346,0.024648213787154528,0.13222031584820124,0.16271323925916203,0.10067581331799738,0.03844697416321077,0.07901167115087447,0.12564220457542682,0.08933333333333335,0.04582090740650555,0.06133333333333333,0.11733333333333333,0.5559999999999999,0.10190191362285597,0.488,0.612,1.5586666666666666,0.29000842899627743,1.3706666666666667,1.7347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08027572631835937,0.026307154234322883,0.06469983458518982,0.09762565910816193,,,,,0.0,0.0
adult_income,XGB-Mono-Best,10,0.792,0.043312815655415435,0.7649999999999999,0.819,0.149460721012714,0.02360414706626741,0.13451751458130579,0.16383064757689006,0.09734916450409217,0.03651605210208685,0.07612212241340312,0.12061030705476584,0.07333333333333333,0.05138093031466052,0.04133333333333333,0.10400000000000001,0.612,0.1088852607105296,0.54,0.6759999999999999,1.5906666666666667,0.30782679112340655,1.3972999999999998,1.7853333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08226220607757569,0.006310669467565723,0.07832702219486237,0.08610261797904967,,,,,0.0,0.0
bank_marketing,CART,10,0.884,0.01959591794226544,0.873,0.898,0.09309066491362375,0.015080278214305723,0.08300441720746086,0.10177410471640472,0.061940313962958314,0.021812280871103762,0.04853562161664563,0.0751582282535881,0.03820224719101123,0.026683914802332398,0.02247191011235955,0.05617977528089887,0.7454545454545455,0.17152692967375643,0.6272727272727273,0.8454545454545455,1.681920326864147,0.2841425496212973,1.4752732379979572,1.8412997957099078,267.3,274.42742209917725,99.1975,435.51249999999993,0.13365,0.13721371104958863,0.049598750000000004,0.21775624999999998,0.0518602068234897,0.055940545667205896,0.0179469642627712,0.08559709229590301,0.34159277794621024,0.11377411245667061,0.2704558433584522,0.4122505139206824,0.5633142983142985,0.17781019970892648,0.44379132534132537,0.6635972473472473,0.004227447509765625,0.002990925605080119,0.0024122411012649538,0.006068066358566282,,,,,0.0,0.0
bank_marketing,EMDT,10,0.897,0.011874342087037927,0.889975,0.905,0.10300000000000001,0.011874342087037915,0.095,0.11002499999999987,0.10300000000000001,0.011874342087037916,0.095,0.11002499999999987,0.012359550561797753,0.009333285239233793,0.006741573033707865,0.01797752808988764,0.8363636363636363,0.08907235428302464,0.7818181818181819,0.8909090909090909,1.7345250255362614,0.17737477673231508,1.6254341164453525,1.8436159346271705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583142900466919,0.22263147765452188,2.4518241119384765,2.7241702395677563,0.0,0.0,0.0,0.0,1.0,1.0
bank_marketing,EMDT-Iso,10,0.897,0.011874342087037927,0.889975,0.905,0.09073234847168095,0.008748214487697711,0.08525932995240833,0.09635490278289083,0.0167283055858006,0.011080797934628728,0.010195907826674533,0.02386857308713274,0.012359550561797753,0.009333285239233793,0.006741573033707865,0.01797752808988764,0.8363636363636363,0.08907235428302464,0.7818181818181819,0.8909090909090909,1.7345250255362614,0.17737477673231508,1.6254341164453525,1.8436159346271705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54867901802063,0.2898887840759382,2.3807927095890045,2.7364355140924452,0.0,0.0,0.0,0.0,1.0,1.0
bank_marketing,LGBM-Mono,10,0.8859999999999999,0.023323807579381222,0.8729999999999999,0.9010000000000001,0.0879292492105295,0.017597236384901214,0.07626695516443133,0.09851020516456534,0.08114878945082268,0.022179266454068224,0.06619752864724145,0.09466234665004511,0.033707865168539325,0.022471910112359546,0.020224719101123594,0.04719101123595505,0.7636363636363637,0.14200453956193917,0.6727272727272727,0.8454545454545455,1.695812053115424,0.2882209586943939,1.512326353421859,1.8637385086823286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017650961875915527,0.006573892942097064,0.014373899698257446,0.022132779955863945,,,,,0.0,0.0
bank_marketing,LGBM-Mono-Best,10,0.884,0.024979991993593614,0.8690000000000001,0.9,0.08849377943340223,0.01744156591326011,0.07698001723854006,0.09900787428662804,0.07723390588668064,0.02121243074442147,0.06375579293748145,0.09061462436576417,0.03707865168539326,0.025149471107415045,0.021348314606741574,0.05168539325842696,0.7545454545454546,0.12888588071598023,0.6727272727272726,0.8272727272727272,1.6944841675178755,0.2725644232672563,1.515620531154239,1.851182328907048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05045661926269531,0.013582886873362373,0.041902996301651,0.058830981254577634,,,,,0.0,0.0
bank_marketing,MonoRF,10,0.8939999999999999,0.014966629547095779,0.885,0.9029999999999999,0.08232617610975698,0.009713377394715134,0.07566786596300663,0.08796311775573598,0.057541385744390286,0.021094698192268658,0.045449089831033164,0.07209056687819687,0.0056179775280898875,0.010359038716059425,0.0,0.012359550561797753,0.9181818181818182,0.11818181818181818,0.8363636363636363,0.9818181818181818,1.864453524004086,0.23555500269385848,1.7119458631256383,1.9973442288049033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4589604616165161,0.11349303462526618,0.3891475427150726,0.5305709147453308,,,,,0.0,0.0
bank_marketing,MonoScore,10,0.8959999999999999,0.01200000000000001,0.8880000000000001,0.9030000000000001,0.08410060214629875,0.011762545437171016,0.07598025453298618,0.0909324342534529,0.046878828339233174,0.011693358467093299,0.03996197014745716,0.05458578473350144,0.00898876404494382,0.009795278524810503,0.0033707865168539327,0.015730337078651686,0.8727272727272727,0.060302268915552695,0.8363636363636363,0.9090909090909092,1.7903983656792648,0.13926816823339916,1.7077630234933607,1.8786516853932582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006431269645690918,0.003339249103999081,0.004532518386840821,0.008614831566810607,,,,,0.0,0.0
bank_marketing,ODT,10,0.8879999999999999,0.011661903789690611,0.8800000000000001,0.8950000000000001,0.11200000000000003,0.0116619037896906,0.10500000000000001,0.12000000000000002,0.11199999999999996,0.011661903789690604,0.10500000000000001,0.12,0.023595505617977526,0.015446884365019686,0.014606741573033707,0.03258426966292135,0.8272727272727272,0.11818181818181818,0.7545454545454546,0.890909090909091,1.772522982635342,0.1978805809204341,1.6468105209397341,1.8941777323799793,48.9,74.77760359893864,0.0,97.8,0.02445,0.037388801799469316,0.0,0.0489,0.02445,0.037388801799469316,0.0,0.0489,0.3,0.45825756949558405,0.0,0.6,0.3,0.45825756949558405,0.0,0.6,2.5742071628570558,0.2805639465214195,2.4046854764223102,2.7478553426265715,0.0,0.0,0.0,0.0,1.0,1.0
bank_marketing,XGB-Mono,10,0.882,0.023579652245103215,0.869,0.898,0.08902273019722062,0.01722428364230339,0.07733945751794516,0.09938963700746656,0.07708168504737842,0.025594508631346127,0.06046993765011648,0.09305727164836353,0.03932584269662921,0.02370227315699886,0.024719101123595506,0.05393258426966292,0.7545454545454546,0.14686813110366828,0.6636363636363636,0.8363636363636365,1.7057201225740548,0.2915547609986353,1.5199106230847803,1.876302349336057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641021728515625,0.011047667785060935,0.05738150119781494,0.07114288866519929,,,,,0.0,0.0
